,newspaper,year,week,word,stat,metric,value,year_week,hot_topics
22786,elcomercio_peru,2022,44,silva,mean,quote_count,0.09090909090909091,2022w44,
22787,elcomercio_peru,2022,44,silva,min,quote_count,0.0,2022w44,
22788,elcomercio_peru,2022,44,silva,ratio,quote_count,0.09090909090909091,2022w44,
22789,elcomercio_peru,2022,44,silva,std,quote_count,0.30151134457776363,2022w44,
22790,elcomercio_peru,2022,44,silva,sum,quote_count,1.0,2022w44,
22791,elcomercio_peru,2022,44,tasas,count,quote_count,8.0,2022w44,
22792,elcomercio_peru,2022,44,tasas,max,quote_count,1.0,2022w44,
22793,elcomercio_peru,2022,44,tasas,mean,quote_count,0.125,2022w44,
22794,elcomercio_peru,2022,44,tasas,min,quote_count,0.0,2022w44,
22795,elcomercio_peru,2022,44,tasas,ratio,quote_count,0.125,2022w44,
22796,elcomercio_peru,2022,44,tasas,std,quote_count,0.3535533905932738,2022w44,
22797,elcomercio_peru,2022,44,tasas,sum,quote_count,1.0,2022w44,
22798,elcomercio_peru,2022,44,tipo,count,quote_count,12.0,2022w44,
22799,elcomercio_peru,2022,44,tipo,max,quote_count,1.0,2022w44,
22800,elcomercio_peru,2022,44,tipo,mean,quote_count,0.08333333333333333,2022w44,
22801,elcomercio_peru,2022,44,tipo,min,quote_count,0.0,2022w44,
22802,elcomercio_peru,2022,44,tipo,ratio,quote_count,0.08333333333333333,2022w44,
22803,elcomercio_peru,2022,44,tipo,std,quote_count,0.28867513459481287,2022w44,
22804,elcomercio_peru,2022,44,tipo,sum,quote_count,1.0,2022w44,
22805,elcomercio_peru,2022,44,ucrania,count,quote_count,16.0,2022w44,
22806,elcomercio_peru,2022,44,ucrania,max,quote_count,0.0,2022w44,
22807,elcomercio_peru,2022,44,ucrania,mean,quote_count,0.0,2022w44,
22808,elcomercio_peru,2022,44,ucrania,min,quote_count,0.0,2022w44,
22809,elcomercio_peru,2022,44,ucrania,ratio,quote_count,0.0,2022w44,
22810,elcomercio_peru,2022,44,ucrania,std,quote_count,0.0,2022w44,
22811,elcomercio_peru,2022,44,ucrania,sum,quote_count,0.0,2022w44,
22812,elcomercio_peru,2022,44,unidos,count,quote_count,12.0,2022w44,
22813,elcomercio_peru,2022,44,unidos,max,quote_count,0.0,2022w44,
22814,elcomercio_peru,2022,44,unidos,mean,quote_count,0.0,2022w44,
22815,elcomercio_peru,2022,44,unidos,min,quote_count,0.0,2022w44,
22816,elcomercio_peru,2022,44,unidos,ratio,quote_count,0.0,2022w44,
22817,elcomercio_peru,2022,44,unidos,std,quote_count,0.0,2022w44,
22818,elcomercio_peru,2022,44,unidos,sum,quote_count,0.0,2022w44,
22819,elcomercio_peru,2022,44,venezuela,count,quote_count,8.0,2022w44,
22820,elcomercio_peru,2022,44,venezuela,max,quote_count,0.0,2022w44,
22821,elcomercio_peru,2022,44,venezuela,mean,quote_count,0.0,2022w44,
22822,elcomercio_peru,2022,44,venezuela,min,quote_count,0.0,2022w44,
22823,elcomercio_peru,2022,44,venezuela,ratio,quote_count,0.0,2022w44,
22824,elcomercio_peru,2022,44,venezuela,std,quote_count,0.0,2022w44,
22825,elcomercio_peru,2022,44,venezuela,sum,quote_count,0.0,2022w44,
22826,elcomercio_peru,2022,44,victoria,count,quote_count,10.0,2022w44,
22827,elcomercio_peru,2022,44,victoria,max,quote_count,1.0,2022w44,
22828,elcomercio_peru,2022,44,victoria,mean,quote_count,0.3,2022w44,
22829,elcomercio_peru,2022,44,victoria,min,quote_count,0.0,2022w44,
22830,elcomercio_peru,2022,44,victoria,ratio,quote_count,0.3,2022w44,
22831,elcomercio_peru,2022,44,victoria,std,quote_count,0.48304589153964794,2022w44,
22832,elcomercio_peru,2022,44,victoria,sum,quote_count,3.0,2022w44,
22833,elcomercio_peru,2022,49,años,count,quote_count,13.0,2022w49,
22834,elcomercio_peru,2022,49,años,max,quote_count,1.0,2022w49,
22835,elcomercio_peru,2022,49,años,mean,quote_count,0.15384615384615385,2022w49,
22836,elcomercio_peru,2022,49,años,min,quote_count,0.0,2022w49,
22837,elcomercio_peru,2022,49,años,ratio,quote_count,0.15384615384615385,2022w49,
22838,elcomercio_peru,2022,49,años,std,quote_count,0.3755338080994054,2022w49,
22839,elcomercio_peru,2022,49,años,sum,quote_count,2.0,2022w49,
22840,elcomercio_peru,2022,49,boluarte,count,quote_count,24.0,2022w49,boluarte
22841,elcomercio_peru,2022,49,boluarte,max,quote_count,3.0,2022w49,boluarte
22842,elcomercio_peru,2022,49,boluarte,mean,quote_count,0.9166666666666666,2022w49,boluarte
22843,elcomercio_peru,2022,49,boluarte,min,quote_count,0.0,2022w49,boluarte
22844,elcomercio_peru,2022,49,boluarte,ratio,quote_count,0.9166666666666666,2022w49,boluarte
22845,elcomercio_peru,2022,49,boluarte,std,quote_count,0.928611242975073,2022w49,boluarte
22846,elcomercio_peru,2022,49,boluarte,sum,quote_count,22.0,2022w49,boluarte
22847,elcomercio_peru,2022,49,cambio,count,quote_count,12.0,2022w49,
22848,elcomercio_peru,2022,49,cambio,max,quote_count,1.0,2022w49,
22849,elcomercio_peru,2022,49,cambio,mean,quote_count,0.08333333333333333,2022w49,
22850,elcomercio_peru,2022,49,cambio,min,quote_count,0.0,2022w49,
22851,elcomercio_peru,2022,49,cambio,ratio,quote_count,0.08333333333333333,2022w49,
22852,elcomercio_peru,2022,49,cambio,std,quote_count,0.2886751345948129,2022w49,
22853,elcomercio_peru,2022,49,cambio,sum,quote_count,1.0,2022w49,
22854,elcomercio_peru,2022,49,castillo,count,quote_count,52.0,2022w49,castillo
